config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,0.6,100000,98966,2,2,2,0,0,0.0020208960653153606,0.0020208960653153606,0.0020208960653153606,0.0020208960653153606
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,1.0,100000,92345,124,124,124,0,0,0.13427906221235583,0.13427906221235583,0.13427906221235583,0.13427906221235583
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,1.4,100000,83226,536,536,536,0,0,0.6440295100088914,0.6440295100088914,0.6440295100088914,0.6440295100088914
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,1.8,100000,72870,972,972,972,0,0,1.3338822560724577,1.3338822560724577,1.3338822560724577,1.3338822560724577
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,2.0,100000,67959,1129,1129,1129,0,0,1.6612957812798894,1.6612957812798894,1.6612957812798894,1.6612957812798894
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,2.4,100000,59093,1503,1503,1503,0,0,2.543448462592862,2.543448462592862,2.543448462592862,2.543448462592862
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,2.8,100000,51853,1729,1729,1729,0,0,3.334426166277747,3.334426166277747,3.334426166277747,3.334426166277747
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,3.2,100000,46233,2000,2000,2000,0,0,4.325914390154219,4.325914390154219,4.325914390154219,4.325914390154219
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,3.6,100000,41674,2164,2164,2164,0,0,5.192686087248644,5.192686087248644,5.192686087248644,5.192686087248644
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,3.8,100000,39752,2226,2226,2226,0,0,5.599718253169652,5.599718253169652,5.599718253169652,5.599718253169652
RMT_3954_CCD_Type3_Limit,31,0.1,0.1,0.0,4.0,100000,38013,2295,2295,2295,0,0,6.037408255070634,6.037408255070634,6.037408255070634,6.037408255070634
